Leech Prices,,,,Boss Runs,,,Other Services,
Check out my per-exp leech pricing guide here,,,,Krex Ring,40m,,Neo Tokyo Prequest,No sellers
,,,,Krex Leech,60m,,Ellin Forest Prequest,No sellers
Map,MW20,Price,,Ring + Leech,100m,,Von Leon Prequest,No sellers
Low-Lv,No,80m/hr,,VIP Zhelm,60m,,El Nath PQ,30m
Low-Lv,Yes,80-90m/hr,,Zakum Skillbooks,20m,,Horntail PQ (for Genesis),60m
Harps,No,80m/hr,,VIP HTP,120-140m,,Fame,1m/ea
Harps,Yes,80-90m/hr,,Scar Helms,60-70m,,,
Uwu 1,No,80m/hr,,Targa Helms,80-100m,,,
Uwu 1,Yes,80m/hr,,Scarga Helms,130-160m,,,
Uwu 2,No,80-90m/hr,,Auf Helms,60m,,,
Uwu 2,Yes,80-90m/hr,,Shao Leech,30m / 3 apple,,,
Petri,No,-,,VIP Mon,60-80m,,This area feels empty,
Petri,Yes,130-140m/hr,,Bigfoot Leech,No one knows,,IDK what I'd put here though,
Skele,No,-,,Bigfoot Toe,10m,,,
Skele,Yes,140-150m/hr,,Balrog Shoulder,60-80m,,,
Goby,20-50m/lv,,,,,,,
CPQ,No,800k-1m/100 cp,,,,,,
